Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
audi,TT convertible 1.8T,1999 - 2007,5x100,57.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/TT%20cabriolet%201.8T%20(1999%20-%202007).html
audi,TT coupe 1.8T,1998 - 2006,5x100,57.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/TT%20coupe%201.8T%20(1998%20-%202006).html
audi,TT RS,2009 - 2014,5x112,57.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Audi/TT%20RS%20(2009%20-%202014).html
audi,TT RS,2014 - ,5x112,57.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/Audi/TT%20RS%20(2014%20-%20).html
audi,Ur-Quattro,1980 - 1991,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/Ur-Quattro%20(1980%20-%201991).html
bmw,1 Serie E81,2007 - 2011,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20E81%20(2007%20-%202011).html
bmw,1 Serie E82,2007 - 2013,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20E82%20(2007%20-%202013).html
bmw,1 Serie E87,2004 - 2011,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20E87%20(2004%20-%202011).html
bmw,1 Serie E88,2007 - 2013,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20E88%20(2007%20-%202013).html
bmw,1 Serie F20,2011 - 2019,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20F20%20(2011%20-%202019).html
bmw,1 Serie F21,2012 - 2019,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20F21%20(2012%20-%202019).html
bmw,1 Serie M E87,2011 - 2018,5x120,72.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/BMW/1%20Serie%20M%20E87%20(2011%20-%202018).html
bmw,1 Serie Sedan F52,2017 - ,5x112,66.6,,,,,,1,1,,,https://www.wheelfitment.eu/car/BMW/1%20Serie%20Sedan%20F52%20(2017%20-%20).html
bmw,2 Serie Active Tourer F45,2014 - 2022,5x112,66.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/2%20Serie%20Active%20Tourer%20F45%20(2014%20-%202022).html
bmw,2 Serie Active Tourer U06,2022 - ,5x112,66.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/2%20Serie%20Active%20Tourer%20U06%20(2022%20-%20).html
bmw,2 Serie convertible F22,2014 - 2021,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/2%20Serie%20Cabriolet%20F22%20(2014%20-%202021).html
bmw,2 Serie Coupe F22,2013 - 2021,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/2%20Serie%20Coupe%20F22%20(2013%20-%202021).html
bmw,2 Serie F44,2021 - ,5x112,66.6,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/BMW/2%20Serie%20F44%20(2021%20-%20).html
bmw,2 Serie Gran Tourer F46,2015 - 2023,5x112,66.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/2%20Serie%20Gran%20Tourer%20F46%20(2015%20-%202023).html
bmw,2000C-CS-CA,1962 - 1972,4x100,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/2000C-CS-CA%20(1962%20-%201972)%20.html
bmw,3 Serie E21,1975 - 1982,4x100,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E21%20(1975%20-%201982)%20.html
bmw,3 Serie E30,1982 - 1990,4x100,57.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E30%20(1982%20-%201990).html
bmw,3 Serie E36 4 equal rims,1990 - 1999,5x120,72.5,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E36%204%20dezelfde%20velgen%20(1990%20-%201999).html
bmw,3 Serie E46 4 equal rims,1998 - 2005,5x120,72.5,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E46%204%20dezelfde%20velgen%20(1998%20-%202005).html
bmw,3 Serie E90,2005 - 2011,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E90%20(2005%20-%202011).html
bmw,3 Serie E91,2005 - 2011,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E91%20(2005%20-%202011).html
bmw,3 Serie E92,2006 - 2011,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E92%20(2007%20-%202011).html
bmw,3 Serie E93,2007 - 2011,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20E93%20(2007%20-%202011).html
bmw,3 Serie F30,2012 - 2019,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20F30%20(2012%20-%202019).html
bmw,3 Serie F31,2012 - 2019,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20F31%20(2012%20-%202019).html
bmw,3 Serie G20-G21,2019 - ,5x112,66.6,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20G20-G21%20(2019%20-%20).html
bmw,3 Serie Gran Turismo F34,2013 - 2019,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/3%20Serie%20Gran%20Turismo%20F34%20(2013%20-%202019).html
bmw,4 Serie convertible F33,2014 - 2020,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/4%20Serie%20Cabriolet%20F33%20(2014%20-%202020).html
bmw,4 Serie Coupe F32,2013 - 2020,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/4%20Serie%20Coupe%20F32%20(2013%20-%202020).html
bmw,4 Serie G22-G23-G26,2020 - ,5x112,66.6,,,,,,1,1,1,,https://www.wheelfitment.eu/car/BMW/4%20Serie%20G22-G23-G26%20(2020%20-%20).html
bmw,4 Serie Gran Coupe F36,2014 - 2020,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/4%20Serie%20Gran%20Coupe%20F36%20(2014%20-%202020).html
bmw,5 Serie E12,1972 - 1981,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E12%20(1972%20-%201981).html
bmw,5 Serie E28,1981 - 1988,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E28%20(1981%20-%201988).html
bmw,5 Serie E34,1988 - 1995,5x120,72.5,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E34%20(1988%20-%201995).html
